Non-overlapping 14-day period,Region,Number_received_three_vaccines,Population
01/11/2022 -> 30/11/2022,North East,133030,215585
01/11/2022 -> 30/11/2022,North West,369170,636140
01/11/2022 -> 30/11/2022,South East,609950,902155
01/11/2022 -> 30/11/2022,South West,410250,590820
01/11/2022 -> 30/11/2022,East Midlands,248410,416475
01/11/2022 -> 30/11/2022,East of England,350655,565160
01/11/2022 -> 30/11/2022,London,508665,1083345
01/11/2022 -> 30/11/2022,North East,211730,332550
01/11/2022 -> 30/11/2022,North West,380205,690430
01/11/2022 -> 30/11/2022,South East,467520,734470
01/11/2022 -> 30/11/2022,South West,288500,445415
01/11/2022 -> 30/11/2022,East Midlands,285910,562235
01/11/2022 -> 30/11/2022,East Midlands,270120,456870
01/11/2022 -> 30/11/2022,East Midlands,353110,477075
01/11/2022 -> 30/11/2022,East Midlands,511265,597695
01/11/2022 -> 30/11/2022,East Midlands,467385,511930
01/11/2022 -> 30/11/2022,East Midlands,403125,422070
01/11/2022 -> 30/11/2022,East Midlands,225850,234325
01/11/2022 -> 30/11/2022,East of England,352150,678880
01/11/2022 -> 30/11/2022,East of England,353665,586195
01/11/2022 -> 30/11/2022,East of England,481755,649420
01/11/2022 -> 30/11/2022,East of England,651500,759320
01/11/2022 -> 30/11/2022,East of England,584460,640575
01/11/2022 -> 30/11/2022,East of England,513855,538255
01/11/2022 -> 30/11/2022,East of England,309660,321510
01/11/2022 -> 30/11/2022,London,394090,923105
01/11/2022 -> 30/11/2022,London,442195,858190
01/11/2022 -> 30/11/2022,London,541490,901115
01/11/2022 -> 30/11/2022,London,617640,848750
01/11/2022 -> 30/11/2022,London,510195,627135
01/11/2022 -> 30/11/2022,London,364915,411290
01/11/2022 -> 30/11/2022,London,224830,252825
01/11/2022 -> 30/11/2022,North East,153000,312300
01/11/2022 -> 30/11/2022,North East,152900,265815
01/11/2022 -> 30/11/2022,North East,189130,259790
01/11/2022 -> 30/11/2022,North East,279865,329280
01/11/2022 -> 30/11/2022,North East,282195,307895
01/11/2022 -> 30/11/2022,North East,227755,237845
01/11/2022 -> 30/11/2022,North East,127170,131635
01/11/2022 -> 30/11/2022,North West,376615,847930
01/11/2022 -> 30/11/2022,North West,383550,729150
01/11/2022 -> 30/11/2022,North West,489960,717705
01/11/2022 -> 30/11/2022,North West,714670,875735
01/11/2022 -> 30/11/2022,North West,674110,757755
01/11/2022 -> 30/11/2022,North West,559065,593550
01/11/2022 -> 30/11/2022,North West,318030,333875
01/11/2022 -> 30/11/2022,South East,557345,1009845
01/11/2022 -> 30/11/2022,South East,533170,836785
01/11/2022 -> 30/11/2022,South East,741770,961075
01/11/2022 -> 30/11/2022,South East,980690,1127515
01/11/2022 -> 30/11/2022,South East,863290,941430
01/11/2022 -> 30/11/2022,South East,739430,774595
01/11/2022 -> 30/11/2022,South East,456705,473485
01/11/2022 -> 30/11/2022,South West,359440,638270
01/11/2022 -> 30/11/2022,South West,331780,510310
01/11/2022 -> 30/11/2022,South West,420085,538760
01/11/2022 -> 30/11/2022,South West,602370,688820
01/11/2022 -> 30/11/2022,South West,579830,629235
01/11/2022 -> 30/11/2022,South West,524745,548235
01/11/2022 -> 30/11/2022,South West,318380,328825
01/12/2022 -> 31/12/2022,East Midlands,2513470,3261185
01/12/2022 -> 31/12/2022,East of England,3243090,4173295
01/12/2022 -> 31/12/2022,London,3092645,4823725
01/12/2022 -> 31/12/2022,North East,1409930,1843770
01/12/2022 -> 31/12/2022,North West,3510895,4854215
01/12/2022 -> 31/12/2022,South East,4866845,6123305
01/12/2022 -> 31/12/2022,South West,3132370,3880560
01/12/2022 -> 31/12/2022,East Midlands,197370,313230
01/12/2022 -> 31/12/2022,East of England,295440,453020
01/12/2022 -> 31/12/2022,London,1048250,1775565
01/12/2022 -> 31/12/2022,North East,52970,81765
01/12/2022 -> 31/12/2022,North West,224240,379815
01/12/2022 -> 31/12/2022,South East,516175,734895
01/12/2022 -> 31/12/2022,South West,193995,277380
01/12/2022 -> 31/12/2022,East Midlands,2316100,2947955
01/12/2022 -> 31/12/2022,East of England,2947665,3720275
01/12/2022 -> 31/12/2022,London,2044410,3048155
01/12/2022 -> 31/12/2022,North East,1356985,1762005
01/12/2022 -> 31/12/2022,North West,3286655,4474405
01/12/2022 -> 31/12/2022,South East,4350665,5388420
01/12/2022 -> 31/12/2022,South West,2938365,3603195
01/12/2022 -> 31/12/2022,East Midlands,238110,278105
01/12/2022 -> 31/12/2022,East of England,276930,323410
01/12/2022 -> 31/12/2022,London,242375,334835
01/12/2022 -> 31/12/2022,North East,147690,172400
01/12/2022 -> 31/12/2022,North West,338955,417505
01/12/2022 -> 31/12/2022,South East,383910,445415
01/12/2022 -> 31/12/2022,South West,281475,322890
01/12/2022 -> 31/12/2022,East Midlands,139725,168470
01/12/2022 -> 31/12/2022,East of England,144770,175635
01/12/2022 -> 31/12/2022,London,161120,233650
01/12/2022 -> 31/12/2022,North East,108490,129850
01/12/2022 -> 31/12/2022,North West,247295,314090
01/12/2022 -> 31/12/2022,South East,191095,231595
01/12/2022 -> 31/12/2022,South West,148125,176800
01/12/2022 -> 31/12/2022,East Midlands,2135660,2814620
01/12/2022 -> 31/12/2022,East of England,2821395,3674250
01/12/2022 -> 31/12/2022,London,2689180,4255235
01/12/2022 -> 31/12/2022,North East,1153755,1541520
01/12/2022 -> 31/12/2022,North West,2924645,4122625
01/12/2022 -> 31/12/2022,South East,4291860,5446310
01/12/2022 -> 31/12/2022,South West,2702760,3380875
01/12/2022 -> 31/12/2022,East Midlands,94845,109405
01/12/2022 -> 31/12/2022,East of England,111055,128475
01/12/2022 -> 31/12/2022,London,45775,62155
01/12/2022 -> 31/12/2022,North East,60880,71620
01/12/2022 -> 31/12/2022,North West,127675,154770
01/12/2022 -> 31/12/2022,South East,158045,181190
01/12/2022 -> 31/12/2022,South West,119410,135800
01/12/2022 -> 31/12/2022,East Midlands,319135,405895
01/12/2022 -> 31/12/2022,East of England,430730,544405
01/12/2022 -> 31/12/2022,London,277775,431850
01/12/2022 -> 31/12/2022,North East,176990,229995
01/12/2022 -> 31/12/2022,North West,426995,584700
01/12/2022 -> 31/12/2022,South East,586200,727290
01/12/2022 -> 31/12/2022,South West,384470,470730
01/12/2022 -> 31/12/2022,East Midlands,346615,434785
01/12/2022 -> 31/12/2022,East of England,459790,573300
01/12/2022 -> 31/12/2022,London,295210,457065
01/12/2022 -> 31/12/2022,North East,200150,255075
01/12/2022 -> 31/12/2022,North West,483210,651560
01/12/2022 -> 31/12/2022,South East,656835,801740
01/12/2022 -> 31/12/2022,South West,443680,535235
01/12/2022 -> 31/12/2022,East Midlands,298460,368415
01/12/2022 -> 31/12/2022,East of England,373525,461445
01/12/2022 -> 31/12/2022,London,328000,488945
01/12/2022 -> 31/12/2022,North East,170135,213360
01/12/2022 -> 31/12/2022,North West,426850,564280
01/12/2022 -> 31/12/2022,South East,575525,697085
01/12/2022 -> 31/12/2022,South West,383320,459910
01/12/2022 -> 31/12/2022,East Midlands,631200,713665
01/12/2022 -> 31/12/2022,East of England,877860,1001925
01/12/2022 -> 31/12/2022,London,1119435,1495780
01/12/2022 -> 31/12/2022,North East,335000,377850
01/12/2022 -> 31/12/2022,North West,939665,1094870
01/12/2022 -> 31/12/2022,South East,1523895,1720070
01/12/2022 -> 31/12/2022,South West,904530,1004570
01/12/2022 -> 31/12/2022,East Midlands,438145,529735
01/12/2022 -> 31/12/2022,East of England,512110,610325
01/12/2022 -> 31/12/2022,London,412475,595090
01/12/2022 -> 31/12/2022,North East,267100,324770
01/12/2022 -> 31/12/2022,North West,608300,784475
01/12/2022 -> 31/12/2022,South East,626825,741895
01/12/2022 -> 31/12/2022,South West,435580,505155
01/12/2022 -> 31/12/2022,East Midlands,100155,137100
01/12/2022 -> 31/12/2022,East of England,127240,174610
01/12/2022 -> 31/12/2022,London,222650,371395
01/12/2022 -> 31/12/2022,North East,47400,59140
01/12/2022 -> 31/12/2022,North West,123070,172065
01/12/2022 -> 31/12/2022,South East,183620,243790
01/12/2022 -> 31/12/2022,South West,103135,131115
01/12/2022 -> 31/12/2022,East Midlands,4695,9265
01/12/2022 -> 31/12/2022,East of England,12110,23810
01/12/2022 -> 31/12/2022,London,70035,150245
01/12/2022 -> 31/12/2022,North East,3665,7390
01/12/2022 -> 31/12/2022,North West,12195,28595
01/12/2022 -> 31/12/2022,South East,11770,19210
01/12/2022 -> 31/12/2022,South West,3555,5540
01/12/2022 -> 31/12/2022,East Midlands,11970,29145
01/12/2022 -> 31/12/2022,East of England,23180,47455
01/12/2022 -> 31/12/2022,London,123030,324590
01/12/2022 -> 31/12/2022,North East,2700,5840
01/12/2022 -> 31/12/2022,North West,15145,36805
01/12/2022 -> 31/12/2022,South East,29655,59540
01/12/2022 -> 31/12/2022,South West,7000,14475
01/12/2022 -> 31/12/2022,East Midlands,10245,21075
01/12/2022 -> 31/12/2022,East of England,12910,26135
01/12/2022 -> 31/12/2022,London,78340,217700
01/12/2022 -> 31/12/2022,North East,510,830
01/12/2022 -> 31/12/2022,North West,7025,14920
01/12/2022 -> 31/12/2022,South East,14170,26145
01/12/2022 -> 31/12/2022,South West,5705,10545
01/12/2022 -> 31/12/2022,East Midlands,7830,11165
01/12/2022 -> 31/12/2022,East of England,15035,19580
01/12/2022 -> 31/12/2022,London,51445,70085
01/12/2022 -> 31/12/2022,North East,4490,6435
01/12/2022 -> 31/12/2022,North West,18420,24100
01/12/2022 -> 31/12/2022,South East,23710,30315
01/12/2022 -> 31/12/2022,South West,8720,11100
01/12/2022 -> 31/12/2022,East Midlands,93370,127700
01/12/2022 -> 31/12/2022,East of England,55440,69200
01/12/2022 -> 31/12/2022,London,275845,366085
01/12/2022 -> 31/12/2022,North East,7630,10175
01/12/2022 -> 31/12/2022,North West,45715,75080
01/12/2022 -> 31/12/2022,South East,94305,118535
01/12/2022 -> 31/12/2022,South West,18355,23630
01/12/2022 -> 31/12/2022,East Midlands,22955,47335
01/12/2022 -> 31/12/2022,East of England,36335,66590
01/12/2022 -> 31/12/2022,London,94850,200210
01/12/2022 -> 31/12/2022,North East,8040,13470
01/12/2022 -> 31/12/2022,North West,31320,65125
01/12/2022 -> 31/12/2022,South East,58690,98275
01/12/2022 -> 31/12/2022,South West,26330,44450
01/12/2022 -> 31/12/2022,East Midlands,24995,43720
01/12/2022 -> 31/12/2022,East of England,43320,66105
01/12/2022 -> 31/12/2022,London,245085,448855
01/12/2022 -> 31/12/2022,North East,8440,13560
01/12/2022 -> 31/12/2022,North West,30255,56810
01/12/2022 -> 31/12/2022,South East,84185,120085
01/12/2022 -> 31/12/2022,South West,22660,33080
01/12/2022 -> 31/12/2022,East Midlands,14385,34265
01/12/2022 -> 31/12/2022,East of England,20065,47920
01/12/2022 -> 31/12/2022,London,69615,146090
01/12/2022 -> 31/12/2022,North East,6600,13690
01/12/2022 -> 31/12/2022,North West,49860,131905
01/12/2022 -> 31/12/2022,South East,33115,69060
01/12/2022 -> 31/12/2022,South West,4400,8010
01/12/2022 -> 31/12/2022,East Midlands,2264715,2823790
01/12/2022 -> 31/12/2022,East of England,2897375,3589530
01/12/2022 -> 31/12/2022,London,1730550,2256095
01/12/2022 -> 31/12/2022,North East,1351735,1744615
01/12/2022 -> 31/12/2022,North West,3222600,4287045
01/12/2022 -> 31/12/2022,South East,4318230,5268945
01/12/2022 -> 31/12/2022,South West,2956830,3601755
01/12/2022 -> 31/12/2022,East Midlands,58315,113750
01/12/2022 -> 31/12/2022,East of England,127350,216955
01/12/2022 -> 31/12/2022,London,353845,643815
01/12/2022 -> 31/12/2022,North East,16145,27750
01/12/2022 -> 31/12/2022,North West,78380,133835
01/12/2022 -> 31/12/2022,South East,199025,313190
01/12/2022 -> 31/12/2022,South West,78795,127960
01/12/2022 -> 31/12/2022,East Midlands,359280,566495
01/12/2022 -> 31/12/2022,East of England,508555,759420
01/12/2022 -> 31/12/2022,London,474660,931290
01/12/2022 -> 31/12/2022,North East,207845,322875
01/12/2022 -> 31/12/2022,North West,491495,870110
01/12/2022 -> 31/12/2022,South East,774185,1121605
01/12/2022 -> 31/12/2022,South West,506060,710625
01/12/2022 -> 31/12/2022,East Midlands,450840,618965
01/12/2022 -> 31/12/2022,East of England,616860,819860
01/12/2022 -> 31/12/2022,London,552225,973115
01/12/2022 -> 31/12/2022,North East,250685,351755
01/12/2022 -> 31/12/2022,North West,593970,921305
01/12/2022 -> 31/12/2022,South East,923440,1201620
01/12/2022 -> 31/12/2022,South West,622010,785675
01/12/2022 -> 31/12/2022,East Midlands,538785,684860
01/12/2022 -> 31/12/2022,East of England,684015,859905
01/12/2022 -> 31/12/2022,London,615040,966280
01/12/2022 -> 31/12/2022,North East,287130,375915
01/12/2022 -> 31/12/2022,North West,718430,979565
01/12/2022 -> 31/12/2022,South East,1034390,1279305
01/12/2022 -> 31/12/2022,South West,661770,805390
01/12/2022 -> 31/12/2022,East Midlands,567075,687015
01/12/2022 -> 31/12/2022,East of England,707695,870330
01/12/2022 -> 31/12/2022,London,675990,962670
01/12/2022 -> 31/12/2022,North East,319305,390145
01/12/2022 -> 31/12/2022,North West,821035,1028710
01/12/2022 -> 31/12/2022,South East,1058300,1269575
01/12/2022 -> 31/12/2022,South West,668915,799260
01/12/2022 -> 31/12/2022,East Midlands,597490,703860
01/12/2022 -> 31/12/2022,East of England,725975,863800
01/12/2022 -> 31/12/2022,London,774745,990380
01/12/2022 -> 31/12/2022,North East,344985,403070
01/12/2022 -> 31/12/2022,North West,885990,1054540
01/12/2022 -> 31/12/2022,South East,1076530,1251205
01/12/2022 -> 31/12/2022,South West,673620,779595
01/12/2022 -> 31/12/2022,East Midlands,2413970,3077980
01/12/2022 -> 31/12/2022,East of England,3123470,3952710
01/12/2022 -> 31/12/2022,London,2544475,3808505
01/12/2022 -> 31/12/2022,North East,1386925,1801865
01/12/2022 -> 31/12/2022,North West,3400780,4631125
01/12/2022 -> 31/12/2022,South East,4669580,5797205
01/12/2022 -> 31/12/2022,South West,3068720,3768020
01/12/2022 -> 31/12/2022,East Midlands,99510,183220
01/12/2022 -> 31/12/2022,East of England,119630,220580
01/12/2022 -> 31/12/2022,London,548185,1015215
01/12/2022 -> 31/12/2022,North East,23015,41895
01/12/2022 -> 31/12/2022,North West,110120,223100
01/12/2022 -> 31/12/2022,South East,197270,326100
01/12/2022 -> 31/12/2022,South West,63630,112535
01/12/2022 -> 31/12/2022,East Midlands,364810,425435
01/12/2022 -> 31/12/2022,East of England,543170,635095
01/12/2022 -> 31/12/2022,London,585925,762565
01/12/2022 -> 31/12/2022,North East,169035,196885
01/12/2022 -> 31/12/2022,North West,508640,610140
01/12/2022 -> 31/12/2022,South East,934795,1081535
01/12/2022 -> 31/12/2022,South West,506675,579960
01/12/2022 -> 31/12/2022,East Midlands,601385,728580
01/12/2022 -> 31/12/2022,East of England,834295,1013985
01/12/2022 -> 31/12/2022,London,830490,1169900
01/12/2022 -> 31/12/2022,North East,323935,392600
01/12/2022 -> 31/12/2022,North West,848770,1077585
01/12/2022 -> 31/12/2022,South East,1351225,1617880
01/12/2022 -> 31/12/2022,South West,805570,954845
01/12/2022 -> 31/12/2022,East Midlands,255305,320915
01/12/2022 -> 31/12/2022,East of England,350785,438775
01/12/2022 -> 31/12/2022,London,333860,509560
01/12/2022 -> 31/12/2022,North East,162900,204645
01/12/2022 -> 31/12/2022,North West,399580,534010
01/12/2022 -> 31/12/2022,South East,523250,643425
01/12/2022 -> 31/12/2022,South West,319485,384965
01/12/2022 -> 31/12/2022,East Midlands,310055,409945
01/12/2022 -> 31/12/2022,East of England,451920,605275
01/12/2022 -> 31/12/2022,London,380740,631410
01/12/2022 -> 31/12/2022,North East,135660,182495
01/12/2022 -> 31/12/2022,North West,414505,596535
01/12/2022 -> 31/12/2022,South East,653345,857145
01/12/2022 -> 31/12/2022,South West,463125,583390
01/12/2022 -> 31/12/2022,East Midlands,249065,323250
01/12/2022 -> 31/12/2022,East of England,277130,361940
01/12/2022 -> 31/12/2022,London,190350,307285
01/12/2022 -> 31/12/2022,North East,148945,192160
01/12/2022 -> 31/12/2022,North West,327280,448970
01/12/2022 -> 31/12/2022,South East,376395,485470
01/12/2022 -> 31/12/2022,South West,270235,341120
01/12/2022 -> 31/12/2022,East Midlands,316155,438425
01/12/2022 -> 31/12/2022,East of England,357105,488860
01/12/2022 -> 31/12/2022,London,295720,515655
01/12/2022 -> 31/12/2022,North East,200995,278885
01/12/2022 -> 31/12/2022,North West,450505,671230
01/12/2022 -> 31/12/2022,South East,475835,640210
01/12/2022 -> 31/12/2022,South West,356385,468540
01/12/2022 -> 31/12/2022,East Midlands,329680,457240
01/12/2022 -> 31/12/2022,East of England,321060,445035
01/12/2022 -> 31/12/2022,London,233170,410310
01/12/2022 -> 31/12/2022,North East,208390,282480
01/12/2022 -> 31/12/2022,North West,417885,622055
01/12/2022 -> 31/12/2022,South East,392825,538590
01/12/2022 -> 31/12/2022,South West,308815,408485
01/12/2022 -> 31/12/2022,East Midlands,47420,93900
01/12/2022 -> 31/12/2022,East of England,53190,101740
01/12/2022 -> 31/12/2022,London,113995,295055
01/12/2022 -> 31/12/2022,North East,40750,80985
01/12/2022 -> 31/12/2022,North West,84250,190600
01/12/2022 -> 31/12/2022,South East,69155,126855
01/12/2022 -> 31/12/2022,South West,43170,76270
01/12/2022 -> 31/12/2022,East Midlands,39590,63485
01/12/2022 -> 31/12/2022,East of England,54440,82600
01/12/2022 -> 31/12/2022,London,128420,221995
01/12/2022 -> 31/12/2022,North East,19330,32655
01/12/2022 -> 31/12/2022,North West,59465,103105
01/12/2022 -> 31/12/2022,South East,90005,132195
01/12/2022 -> 31/12/2022,South West,58915,82980
01/12/2022 -> 31/12/2022,East Midlands,6325,8525
01/12/2022 -> 31/12/2022,East of England,11810,15740
01/12/2022 -> 31/12/2022,London,32940,46905
01/12/2022 -> 31/12/2022,North East,2815,3905
01/12/2022 -> 31/12/2022,North West,9895,13690
01/12/2022 -> 31/12/2022,South East,23580,30655
01/12/2022 -> 31/12/2022,South West,10880,14475
01/12/2022 -> 31/12/2022,East Midlands,1577510,1923430
01/12/2022 -> 31/12/2022,East of England,2020345,2473935
01/12/2022 -> 31/12/2022,London,1523355,2311815
01/12/2022 -> 31/12/2022,North East,1012845,1258380
01/12/2022 -> 31/12/2022,North West,2517290,3290095
01/12/2022 -> 31/12/2022,South East,3037265,3654110
01/12/2022 -> 31/12/2022,South West,1976840,2333475
01/12/2022 -> 31/12/2022,East Midlands,55885,67895
01/12/2022 -> 31/12/2022,East of England,36830,44975
01/12/2022 -> 31/12/2022,London,210315,271505
01/12/2022 -> 31/12/2022,North East,3580,4730
01/12/2022 -> 31/12/2022,North West,20530,25165
01/12/2022 -> 31/12/2022,South East,59475,72710
01/12/2022 -> 31/12/2022,South West,9045,11145
01/12/2022 -> 31/12/2022,East Midlands,2300,2770
01/12/2022 -> 31/12/2022,East of England,25145,28645
01/12/2022 -> 31/12/2022,London,66315,87505
01/12/2022 -> 31/12/2022,North East,1325,2855
